Tweet Id,Tweet Sent Id,Tweet Content,Tweet Date,Tweet Seed Event,,[Islands_disputed_between_China_and_Japan] Score,[Korean_MV_Sewol_ferry_sinking] Score,[Japan_whaling_and_dolphin_hunting] Score,[Davos_world_economic_forum_2014] Score,[Disappearance_of_Malaysia_Airlines_Flight_370] Score,[2014_anti-China_protests_in_Vietnam] Score,[Ukraine_crisis_2014] Score,[FIFA_worldcup_2014] Score,[NONE] Score,Clarity Event Type,,[Islands_disputed_between_China_and_Japan] Count,[Korean_MV_Sewol_ferry_sinking] Count,[Japan_whaling_and_dolphin_hunting] Count,[Davos_world_economic_forum_2014] Count,[Disappearance_of_Malaysia_Airlines_Flight_370] Count,[2014_anti-China_protests_in_Vietnam] Count,[Ukraine_crisis_2014] Count,[FIFA_worldcup_2014] Count,[NONE] Count,,Entire Tweet,No Relevant Spans,Relevant Span,Relevant Span Count,Relevant Span Score
4,28,Denounce Japan for Whale Slaughter - ForceChange http://t.co/XZ4ueUL4la,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Denounce Japan for Whale Slaughter,1,0.1474419562
4,28,Denounce Japan for Whale Slaughter - ForceChange http://t.co/XZ4ueUL4la,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japan,5,0.7372097808
5,29,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TbxHA7K36Z,4/29/2014,whaling,,0,0,1,0,0,0,0,0,0,1,,0,0,7,0,0,0,0,0,0,,1,5,,,
5,29,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TbxHA7K36Z,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Denounce Japan for Whale Slaughter,2,0.3592106041
5,29,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TbxHA7K36Z,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whale Slaughter,1,0.179605302
5,29,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TbxHA7K36Z,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whale,4,0.7184212081
5,29,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TbxHA7K36Z,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Denounce Japan,1,0.179605302
5,29,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TbxHA7K36Z,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japan,3,0.5388159061
7,27,"For my vis ID class, we picked a cause and designed an ad campaign for it. I chose anti - whaling for… http://t.co/3XQAAPsQdU",4/30/2014,whaling,,0,0,0.32,0,0,0,0,0,0.95,0.95,,0,0,1,0,0,0,0,0,3,,1,1,,,
7,27,"For my vis ID class, we picked a cause and designed an ad campaign for it. I chose anti - whaling for… http://t.co/3XQAAPsQdU",4/30/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whaling,1,1
8,22,Denounce Japan for Whale Slaughter - ForceChange http://t.co/Zdf2slwMCB,5/1/2014,whaling,,0,0,1,0,0,0,0,0,0,1,,0,0,7,0,0,0,0,0,0,,1,5,,,
8,22,Denounce Japan for Whale Slaughter - ForceChange http://t.co/Zdf2slwMCB,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whale Slaughter,2,0.3849001795
8,22,Denounce Japan for Whale Slaughter - ForceChange http://t.co/Zdf2slwMCB,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whale,3,0.5773502692
8,22,Denounce Japan for Whale Slaughter - ForceChange http://t.co/Zdf2slwMCB,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Denounce Japan,1,0.1924500897
8,22,Denounce Japan for Whale Slaughter - ForceChange http://t.co/Zdf2slwMCB,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Denounce Japan for Whale Slaughter,2,0.3849001795
8,22,Denounce Japan for Whale Slaughter - ForceChange http://t.co/Zdf2slwMCB,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japan,3,0.5773502692
9,23,Wildlife Extra News - Clues to why whales are not recovering in numbers in the Antarctic http://t.co/odSyDRooUk,5/1/2014,whaling,,0,0,0.83,0,0,0,0,0,0.55,0.83,,0,0,3,0,0,0,0,0,2,,1,4,,,
9,23,Wildlife Extra News - Clues to why whales are not recovering in numbers in the Antarctic http://t.co/odSyDRooUk,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whales are not recovering,1,0.5
9,23,Wildlife Extra News - Clues to why whales are not recovering in numbers in the Antarctic http://t.co/odSyDRooUk,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Clues to why whales are not recovering,1,0.5
9,23,Wildlife Extra News - Clues to why whales are not recovering in numbers in the Antarctic http://t.co/odSyDRooUk,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whales,1,0.5
9,23,Wildlife Extra News - Clues to why whales are not recovering in numbers in the Antarctic http://t.co/odSyDRooUk,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,not recovering,1,0.5
10,13,"May 1-15, 1865 - During this period, Shenandoah ""made northings"" towards the Bering Sea whaling ground... http://t.co/PwaUbgnn3z",5/1/2014,whaling,,0,0,0.32,0,0,0,0,0,0.95,0.95,,0,0,1,0,0,0,0,0,3,,1,1,,,
10,13,"May 1-15, 1865 - During this period, Shenandoah ""made northings"" towards the Bering Sea whaling ground... http://t.co/PwaUbgnn3z",5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whaling ground,,
11,14,@FilthyFrank Instructions unclear: bought entire Japanese whaling fleet - now what,5/1/2014,whaling,,0,0,1,0,0,0,0,0,0,1,,0,0,5,0,0,0,0,0,0,,1,2,,,
11,14,@FilthyFrank Instructions unclear: bought entire Japanese whaling fleet - now what,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japanese whaling fleet,2,0.5547001962
11,14,@FilthyFrank Instructions unclear: bought entire Japanese whaling fleet - now what,5/1/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japanese whaling,3,0.8320502943
12,15,"RT @Hoooper_x3: Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/UDRoSa0Enz via @YouTube",5/8/2014,whaling,,0,0,0.32,0,0,0,0,0,0.95,0.95,,0,0,1,0,0,0,0,0,3,,1,1,,,
12,15,"RT @Hoooper_x3: Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/UDRoSa0Enz via @YouTube",5/8/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,#Whaling:,1,1
13,16,National Anthems of Great Current Whaling Nations - Indonesia - http://t.co/C8NiRPfNAz #Tweet4Taiji #thecove #seashepherd,5/9/2014,whaling,,0,0,0.55,0,0,0,0,0,0.83,0.83,,0,0,2,0,0,0,0,0,3,,1,4,,,
13,16,National Anthems of Great Current Whaling Nations - Indonesia - http://t.co/C8NiRPfNAz #Tweet4Taiji #thecove #seashepherd,5/9/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Nations,1,0.5
13,16,National Anthems of Great Current Whaling Nations - Indonesia - http://t.co/C8NiRPfNAz #Tweet4Taiji #thecove #seashepherd,5/9/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling,1,0.5
13,16,National Anthems of Great Current Whaling Nations - Indonesia - http://t.co/C8NiRPfNAz #Tweet4Taiji #thecove #seashepherd,5/9/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling Nations,1,0.5
13,16,National Anthems of Great Current Whaling Nations - Indonesia - http://t.co/C8NiRPfNAz #Tweet4Taiji #thecove #seashepherd,5/9/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Current,1,0.5
15,17,"RT @NLMaritime: A special reception aboard the Charles W. Morgan whaling ship. http://t.co/tn87NNg3bg Thursday, June 5, 5:30 - 7:30 p.m. $7…",5/14/2014,whaling,,0,0,0.45,0,0,0,0,0,0.89,0.89,,0,0,2,0,0,0,0,0,4,,1,2,,,
15,17,"RT @NLMaritime: A special reception aboard the Charles W. Morgan whaling ship. http://t.co/tn87NNg3bg Thursday, June 5, 5:30 - 7:30 p.m. $7…",5/14/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whaling,1,0.7071067812
15,17,"RT @NLMaritime: A special reception aboard the Charles W. Morgan whaling ship. http://t.co/tn87NNg3bg Thursday, June 5, 5:30 - 7:30 p.m. $7…",5/14/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whaling ship,,
16,18,UN Court Orders Japan to End Whaling as Hunt Not Scientific - Bloomberg,5/16/2014,whaling,,0,0,1,0,0,0,0,0,0,1,,0,0,7,0,0,0,0,0,0,,1,6,,,
16,18,UN Court Orders Japan to End Whaling as Hunt Not Scientific - Bloomberg,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,End Whaling,1,0.1443375673
16,18,UN Court Orders Japan to End Whaling as Hunt Not Scientific - Bloomberg,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling,5,0.7216878365
16,18,UN Court Orders Japan to End Whaling as Hunt Not Scientific - Bloomberg,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japan,4,0.5773502692
16,18,UN Court Orders Japan to End Whaling as Hunt Not Scientific - Bloomberg,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Not Scientific,1,0.1443375673
16,18,UN Court Orders Japan to End Whaling as Hunt Not Scientific - Bloomberg,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,UN Court Orders Japan to End Whaling,1,0.1443375673
16,18,UN Court Orders Japan to End Whaling as Hunt Not Scientific - Bloomberg,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Hunt,2,0.2886751346
17,19,Whaling town sued by dolphin activists - The Japan Times: Whaling town sued by dolphin act... http://t.co/b7jFFyQuJ1 #Taiji #Tweet4Taiji,5/16/2014,whaling,,0,0,0.99,0,0,0,0,0,0.16,0.99,,0,0,6,0,0,0,0,0,1,,1,9,,,
17,19,Whaling town sued by dolphin activists - The Japan Times: Whaling town sued by dolphin act... http://t.co/b7jFFyQuJ1 #Taiji #Tweet4Taiji,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling,3,0.4803844614
17,19,Whaling town sued by dolphin activists - The Japan Times: Whaling town sued by dolphin act... http://t.co/b7jFFyQuJ1 #Taiji #Tweet4Taiji,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling town sued by dolphin activists,1,0.1601281538
17,19,Whaling town sued by dolphin activists - The Japan Times: Whaling town sued by dolphin act... http://t.co/b7jFFyQuJ1 #Taiji #Tweet4Taiji,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,town sued,1,0.1601281538
17,19,Whaling town sued by dolphin activists - The Japan Times: Whaling town sued by dolphin act... http://t.co/b7jFFyQuJ1 #Taiji #Tweet4Taiji,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,dolphin activists,1,0.1601281538
17,19,Whaling town sued by dolphin activists - The Japan Times: Whaling town sued by dolphin act... http://t.co/b7jFFyQuJ1 #Taiji #Tweet4Taiji,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japan Times:,1,0.1601281538
17,19,Whaling town sued by dolphin activists - The Japan Times: Whaling town sued by dolphin act... http://t.co/b7jFFyQuJ1 #Taiji #Tweet4Taiji,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,dolphin,2,0.3202563076
17,19,Whaling town sued by dolphin activists - The Japan Times: Whaling town sued by dolphin act... http://t.co/b7jFFyQuJ1 #Taiji #Tweet4Taiji,5/16/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japan,3,0.4803844614
18,20,Whaling was the island’s lifeblood. Tourists now revel in the charm and history of the summer hot spot - #Nantucket http://t.co/AkHkK0uBzA,5/19/2014,whaling,,0,0,0.24,0,0,0,0,0,0.97,0.97,,0,0,1,0,0,0,0,0,4,,1,1,,,
18,20,Whaling was the island’s lifeblood. Tourists now revel in the charm and history of the summer hot spot - #Nantucket http://t.co/AkHkK0uBzA,5/19/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling,1,1
19,21,RT @BusInsiderAU: The Australian Whaling Ship Captain Who Didn't Want To Kill Whales Has Died Aged 83 - http://t.co/hrXSZkh97F,5/23/2014,whaling,,0,0,0.51,0,0,0,0,0,0.86,0.86,,0,0,3,0,0,0,0,0,5,,1,2,,,
19,21,RT @BusInsiderAU: The Australian Whaling Ship Captain Who Didn't Want To Kill Whales Has Died Aged 83 - http://t.co/hrXSZkh97F,5/23/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling,3,0.9486832981
19,21,RT @BusInsiderAU: The Australian Whaling Ship Captain Who Didn't Want To Kill Whales Has Died Aged 83 - http://t.co/hrXSZkh97F,5/23/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whales,1,0.316227766
21,30,RT @cloud_stream: #worldnews #Yasukuni #peace #Shrine #Japan :Statement by PM #Abe - Pledge for everlasting peace http://t.co/2bZo9TBrFK #U…,5/4/2014,whaling,,0,0,0.16,0,0,0,0,0,0.99,0.99,,0,0,1,0,0,0,0,0,6,,1,1,,,
21,30,RT @cloud_stream: #worldnews #Yasukuni #peace #Shrine #Japan :Statement by PM #Abe - Pledge for everlasting peace http://t.co/2bZo9TBrFK #U…,5/4/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,#Japan,1,1
75,11,Taking the arguments against Icelandic whaling to Russia - http://t.co/an0DjV4aEW,5/28/2014,whaling,,0,0,0.71,0,0,0,0,0,0.71,0.71,,0,0,2,0,0,0,0,0,2,,1,1,,,
75,11,Taking the arguments against Icelandic whaling to Russia - http://t.co/an0DjV4aEW,5/28/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whaling,2,1
76,9,RT @action4ifaw: Taking the arguments against Icelandic whaling to Russia - http://t.co/w7o9LVnAdn,5/28/2014,whaling,,0,0,0.45,0,0,0,0,0,0.89,0.89,,0,0,2,0,0,0,0,0,4,,1,1,,,
76,9,RT @action4ifaw: Taking the arguments against Icelandic whaling to Russia - http://t.co/w7o9LVnAdn,5/28/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Icelandic whaling,2,1
77,10,Taking the arguments against Icelandic whaling to Russia - http://t.co/w7o9LVnAdn,5/28/2014,whaling,,0,0,0.16,0,0,0,0,0,0.99,0.99,,0,0,1,0,0,0,0,0,6,,1,1,,,
77,10,Taking the arguments against Icelandic whaling to Russia - http://t.co/w7o9LVnAdn,5/28/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,arguments against Icelandic whaling,1,1
78,12,Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling,5/28/2014,whaling,,0,0,0.45,0,0,0,0,0,0.89,0.89,,0,0,2,0,0,0,0,0,4,,1,2,,,
78,12,Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling,5/28/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whale,1,0.7071067812
78,12,Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling,5/28/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,#whaling,1,0.7071067812
80,33,#museum #arts Man reports robbery outside Whaling Museum - http://t.co/fNTFBDHdry http://t.co/ToK1QUPefp,5/28/2014,whaling,,0,0,0.24,0,0,0,0,0,0.97,0.97,,0,0,1,0,0,0,0,0,4,,1,1,,,
80,33,#museum #arts Man reports robbery outside Whaling Museum - http://t.co/fNTFBDHdry http://t.co/ToK1QUPefp,5/28/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling Museum,1,1
81,32,National Anthems of Great Current Whaling Nations - Indonesia - http://t.co/SiHEhzX4DL #Tweet4Taiji #thecove #seashepherd,5/28/2014,whaling,,0,0,0.55,0,0,0,0,0,0.83,0.83,,0,0,2,0,0,0,0,0,3,,1,2,,,
81,32,National Anthems of Great Current Whaling Nations - Indonesia - http://t.co/SiHEhzX4DL #Tweet4Taiji #thecove #seashepherd,5/28/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling,1,0.7071067812
81,32,National Anthems of Great Current Whaling Nations - Indonesia - http://t.co/SiHEhzX4DL #Tweet4Taiji #thecove #seashepherd,5/28/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,National Anthems of Great Current Whaling Nations,1,0.7071067812
101,31,World court orders Japan to stop whaling in Antarctic waters - Christian Science Monitor,5/29/2014,whaling,,0,0,1,0,0,0,0,0,0,1,,0,0,6,0,0,0,0,0,0,,1,4,,,
101,31,World court orders Japan to stop whaling in Antarctic waters - Christian Science Monitor,5/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whaling,4,0.6099942813
101,31,World court orders Japan to stop whaling in Antarctic waters - Christian Science Monitor,5/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,stop whaling,1,0.1524985703
101,31,World court orders Japan to stop whaling in Antarctic waters - Christian Science Monitor,5/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japan to stop whaling,1,0.1524985703
101,31,World court orders Japan to stop whaling in Antarctic waters - Christian Science Monitor,5/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japan,5,0.7624928517
17387,245,Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling #seashepherd,5/28/2014,vietnam,,0,0,1,0,0,0,0,0,0,1,,0,0,5,0,0,0,0,0,0,,1,4,,,
17387,245,Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,Alaska Whale Stew,3,0.7745966692
17387,245,Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,Whale,1,0.2581988897
17387,245,Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,#whaling,2,0.5163977795
17387,245,Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,#Tweet4Taiji #thecove #whaling,1,0.2581988897
17388,247,RT @action4ifaw: Taking the arguments against Icelandic whaling to Russia - http://t.co/hzcpaZ7Ay2,5/28/2014,vietnam,,0,0,0.45,0,0,0,0,0,0.89,0.89,,0,0,2,0,0,0,0,0,4,,1,2,,,
17388,247,RT @action4ifaw: Taking the arguments against Icelandic whaling to Russia - http://t.co/hzcpaZ7Ay2,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,whaling,1,0.7071067812
17388,247,RT @action4ifaw: Taking the arguments against Icelandic whaling to Russia - http://t.co/hzcpaZ7Ay2,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,arguments against Icelandic whaling,1,0.7071067812
17389,246,RT @Ocean_Pig: Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling,5/28/2014,vietnam,,0,0,0.95,0,0,0,0,0,0.32,0.95,,0,0,3,0,0,0,0,0,1,,1,4,,,
17389,246,RT @Ocean_Pig: Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,Alaska Whale Stew,2,0.632455532
17389,246,RT @Ocean_Pig: Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,Whale,1,0.316227766
17389,246,RT @Ocean_Pig: Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,Alaska Whale,1,0.316227766
17389,246,RT @Ocean_Pig: Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,#whaling,2,0.632455532
17391,234,"Salt & Storm by Kendell Kulper - whaling community in 1800s, protagonist is from island's witch family. String voice. #novlhq",5/28/2014,vietnam,,0,0,0.83,0,0,0,0,0,0.55,0.83,,0,0,3,0,0,0,0,0,2,,1,2,,,
17391,234,"Salt & Storm by Kendell Kulper - whaling community in 1800s, protagonist is from island's witch family. String voice. #novlhq",5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,"whaling community in 1800s, protagonist",1,0.4472135955
17391,234,"Salt & Storm by Kendell Kulper - whaling community in 1800s, protagonist is from island's witch family. String voice. #novlhq",5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,whaling community,2,0.894427191
17393,233,Article - Why we should allow whaling. http://t.co/Ld2QNsr4No #Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay #seashepherd,5/28/2014,vietnam,,0,0,0.97,0,0,0,0,0,0.24,0.97,,0,0,4,0,0,0,0,0,1,,1,7,,,
17393,233,Article - Why we should allow whaling. http://t.co/Ld2QNsr4No #Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,whaling,,
17393,233,Article - Why we should allow whaling. http://t.co/Ld2QNsr4No #Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,Why we should allow whaling,,
17393,233,Article - Why we should allow whaling. http://t.co/Ld2QNsr4No #Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,Why we,1,0.2773500981
17393,233,Article - Why we should allow whaling. http://t.co/Ld2QNsr4No #Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,allow whaling,,
17393,233,Article - Why we should allow whaling. http://t.co/Ld2QNsr4No #Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,#Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay,1,0.2773500981
17393,233,Article - Why we should allow whaling. http://t.co/Ld2QNsr4No #Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,#tweet4dolphins,2,0.5547001962
17393,233,Article - Why we should allow whaling. http://t.co/Ld2QNsr4No #Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay #seashepherd,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,we should,1,0.2773500981
17394,237,New Zealand: Stand Against Whaling! - The Petition Site http://t.co/I4z78VijJj,5/28/2014,vietnam,,0,0,0.98,0,0,0,0,0,0.2,0.98,,0,0,5,0,0,0,0,0,1,,1,3,,,
17394,237,New Zealand: Stand Against Whaling! - The Petition Site http://t.co/I4z78VijJj,5/28/2014,vietnam,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling!,2,0.6666666667
